respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.06415343,0.24362406
26708,0.22235544,0.061735205
26709,0.07109058,0.65180266
26710,0.3900816,0.9073999
26711,0.24563824,0.5687064
26712,0.52803016,0.9276323
26713,0.29585826,0.63788694
26714,0.36654514,0.17666478
26715,0.0015698128,0.15566508
26716,0.21753167,0.87576765
26717,0.0065108603,0.20331256
26718,0.07885275,0.5322491
26719,0.0071631847,0.82947654
26720,0.04334098,0.19403328
26721,0.33919063,0.24010234
26722,0.07468884,0.047239978
26723,0.53379107,0.89119446
26724,0.3577317,0.67701054
26725,0.10360933,0.03551425
26726,0.07827868,0.0540829
26727,0.04839076,0.8633635
26728,0.3829805,0.6072155
26729,0.4321337,0.9451846
26730,0.056712933,0.27063277
26731,0.047332834,0.39535433
26732,0.00011823785,0.08154103
26733,0.9997683,0.95201445
26734,0.99996907,0.4584665
26735,0.036571573,0.37738955
26736,6.473199e-05,0.14665484
26737,0.07196216,0.08552844
26738,0.97055286,0.77454793
26739,0.10740246,0.17448795
26740,0.01351927,0.16446069
26741,0.252891,0.88584644
26742,7.944663e-05,0.3451449
26743,0.0015991643,0.42530182
26744,0.010622386,0.68524504
26745,0.00966007,0.93380845
26746,0.25642958,0.3323704
26747,0.02531907,0.10522045
26748,0.0006725454,0.052786414
26749,0.40360054,0.6501836
26750,0.6576674,0.92000204
26751,0.5700525,0.7910716
26752,0.0009133492,0.08723408
26753,0.21134804,0.7403729
26754,0.21284416,0.5964874
26755,0.046113815,0.38831952
26756,2.1616355e-05,0.016016519
26757,0.10448771,0.3936278
26758,0.4955229,0.8909813
26759,0.12684722,0.15581606
26760,0.058332324,0.0338369
26761,0.37554574,0.67185855
26762,0.25359043,0.8174217
26763,0.9444354,0.9566525
26764,0.99998593,0.96496004
26765,0.06250611,0.564331
26766,0.0053760754,0.18921877
26767,0.99498254,0.795534
26768,0.004328073,0.34045047
26769,0.008183191,0.14938216
26770,0.09879236,0.37279242
26771,0.0067818104,0.088117704
26772,0.0005473381,0.28193644
26773,0.00028347224,0.45146385
26774,0.045253508,0.37098065
26775,0.001571433,0.497759
26776,0.41502544,0.32441026
26777,5.9108745e-05,0.95112276
26778,0.00010924407,0.050843287
26779,0.349631,0.4140541
26780,3.7588277e-05,0.94014955
26781,0.020998552,0.5280695
26782,9.1303045e-05,0.39906022
26783,0.00022467221,0.23620117
26784,0.28168172,0.8910111
26785,0.2913766,0.576936
26786,0.07685608,0.3153315
26787,0.02485668,0.62768805
26788,0.0102205295,0.85406196
26789,0.0034112674,0.15079346
26790,0.0053524813,0.29143542
26791,0.36632314,0.10057636
26792,0.0027762938,0.6648859
26793,0.013108896,0.9149241
26794,0.6902245,0.8854756
26795,0.25441718,0.9117998
26796,0.0041733384,0.037445232
26797,0.18345685,0.51572514
26798,0.008296846,0.2460232
26799,0.3169376,0.21572009
26800,0.008758059,0.90715826
26801,0.11912719,0.40782604
26802,0.011784955,0.15568449
26803,0.008843269,0.1946962
26804,0.030831452,0.060323965
26805,0.07271647,0.08533893
26806,0.03243328,0.9215455
26807,0.8445969,0.94451314
26808,0.011697061,0.62339103
26809,0.7979391,0.2673055
26810,3.604349e-05,0.05737272
26811,0.13049251,0.058084294
26812,0.007936556,0.8202702
26813,0.1504577,0.41880208
26814,0.012962495,0.61050105
26815,0.0073748645,0.02384317
26816,0.18633083,0.20841178
26817,0.10626384,0.82873
26818,0.0017849494,0.26641557
26819,0.1649219,0.53549486
26820,0.018174889,0.26700357
26821,0.4286458,0.44668403
26822,0.14376375,0.5441593
26823,0.01587681,0.3340058
26824,0.0067889118,0.6776712
26825,0.05867305,0.68898386
26826,0.09675912,0.8502362
26827,9.28948e-10,0.057658378
26828,0.1265423,0.6634129
26829,0.5694635,0.91125894
26830,0.10401718,0.77688146
26831,0.27554604,0.833022
26832,0.038646087,0.773736
26833,0.016374353,0.24014233
26834,0.39339554,0.5822003
26835,0.5141562,0.92371434
26836,0.22230995,0.6692137
26837,0.00072799117,0.00702021
26838,0.020547368,0.53508294
26839,0.34699485,0.5249632
26840,0.0027912334,0.13362841
26841,0.8171134,0.7397928
26842,1.6644041e-06,0.04480665
26843,0.050042577,0.020412492
26844,0.06822479,0.5735152
26845,0.22804266,0.68184245
26846,0.16509289,0.869719
26847,0.08501593,0.049414255
26848,0.001681814,0.6653092
26849,0.32213217,0.6218989
26850,0.17983487,0.5200784
26851,1.6092583e-05,0.048302617
26852,5.39304e-06,0.03581412
26853,0.18054888,0.583858
26854,0.01650387,0.041081347
26855,0.19049704,0.8897296
26856,0.21727605,0.063926175
26857,0.35044518,0.14944924
26858,0.18830384,0.66304326
26859,0.0003229993,0.080707476
26860,0.39748406,0.14737095
26861,0.366153,0.052584693
26862,0.0630567,0.13454609
26863,0.09456413,0.47363162
26864,0.6791535,0.4634554
26865,0.0006289414,0.012106407
26866,0.0034506116,0.7228557
26867,0.0015779389,0.21505387
26868,0.9996505,0.9049955
