respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.07542652,0.22731398
26708,0.036666796,0.038117282
26709,0.5014144,0.76568854
26710,0.61455333,0.9025985
26711,0.2719906,0.46608877
26712,0.7022734,0.95999664
26713,0.37855577,0.63502157
26714,0.09920202,0.13224334
26715,0.035480194,0.09183792
26716,0.14133836,0.8427531
26717,0.022432843,0.40882766
26718,0.19142012,0.41729844
26719,0.054139975,0.9299554
26720,0.05455404,0.2810307
26721,0.48434046,0.36901057
26722,0.055469207,0.0973927
26723,0.66658384,0.92380637
26724,0.11655434,0.8088518
26725,0.024746483,0.04986571
26726,0.101733744,0.06906401
26727,0.3322631,0.8394565
26728,0.12162632,0.52276397
26729,0.4354679,0.8398631
26730,0.057881728,0.15520835
26731,0.02871292,0.23224239
26732,0.09051321,0.1146536
26733,0.9317724,0.95365113
26734,0.77178353,0.3400226
26735,0.12000367,0.36865842
26736,0.04777523,0.14574227
26737,0.07211177,0.09856052
26738,0.6700247,0.8211466
26739,0.084719524,0.2042387
26740,0.10319579,0.09812947
26741,0.19489686,0.91626966
26742,0.08610169,0.3491667
26743,0.036419168,0.3872941
26744,0.063720055,0.78675586
26745,0.15662408,0.81021565
26746,0.1678397,0.30583012
26747,0.077111356,0.18323258
26748,0.08561834,0.07614257
26749,0.093190454,0.6795675
26750,0.67636126,0.9009841
26751,0.36347514,0.73054683
26752,0.052294545,0.076952234
26753,0.15409559,0.5141097
26754,0.08848247,0.55699694
26755,0.09523605,0.44383264
26756,0.012610115,0.033433028
26757,0.39023432,0.5274243
26758,0.6334782,0.846613
26759,0.048314944,0.20269437
26760,0.028750628,0.067242116
26761,0.29049733,0.69549084
26762,0.10558907,0.80961096
26763,0.7856015,0.9663321
26764,0.89408,0.96345365
26765,0.11777857,0.6836469
26766,0.0827027,0.1489632
26767,0.91560477,0.7095724
26768,0.02597704,0.4341725
26769,0.124484085,0.20496517
26770,0.14578226,0.6500041
26771,0.026835095,0.13224624
26772,0.040206015,0.5115578
26773,0.020854615,0.21198784
26774,0.04103413,0.45579454
26775,0.06924195,0.47998765
26776,0.3722481,0.49658218
26777,0.060173973,0.91669166
26778,0.10384149,0.090974234
26779,0.094046555,0.49362478
26780,0.13804191,0.9428192
26781,0.091615714,0.42690787
26782,0.04736432,0.23751877
26783,0.052885566,0.27026495
26784,0.47504398,0.91700774
26785,0.32837448,0.5829837
26786,0.10833166,0.21675138
26787,0.08499771,0.60311335
26788,0.07341823,0.9087851
26789,0.010560021,0.20275734
26790,0.051724028,0.22708978
26791,0.06649914,0.13309555
26792,0.17429695,0.76035225
26793,0.07650537,0.935302
26794,0.8788389,0.88531727
26795,0.06664633,0.9616162
26796,0.026404072,0.041451726
26797,0.09662632,0.72760767
26798,0.3082223,0.1489795
26799,0.2743351,0.25977284
26800,0.041168593,0.9229369
26801,0.2111896,0.27902445
26802,0.057628967,0.1802815
26803,0.058664095,0.15148568
26804,0.04337472,0.07371203
26805,0.06289312,0.1439379
26806,0.07522629,0.9292096
26807,0.5995852,0.8967025
26808,0.28721416,0.5709485
26809,0.5267919,0.20844814
26810,0.042355217,0.11307957
26811,0.056174636,0.060380466
26812,0.10606806,0.82192856
26813,0.31440789,0.25193784
26814,0.02720499,0.70747936
26815,0.022699846,0.04467332
26816,0.087717496,0.17052247
26817,0.11038684,0.6728
26818,0.07586649,0.24854307
26819,0.23972632,0.29700583
26820,0.10276854,0.17085755
26821,0.07562805,0.6146124
26822,0.29782456,0.772779
26823,0.21558715,0.18938982
26824,0.033762842,0.75314754
26825,0.41163236,0.73235214
26826,0.0813624,0.6685966
26827,0.031961277,0.07606889
